,pick_order,hero_code,attack_damage,receive_damage,recovery,mvp_point,equip,first_pick,mvp,ban
1,2,c4004,4682,111364.47,42863,330111,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
2,3,c2109,82339,51468.09,13461,322036,"['set_counter', 'set_max_hp']",0,0,0
3,4,c2099,0,0.0,0,0,[],0,0,1
4,5,c5089,22802,0.0,0,190436,"['set_speed', 'set_torrent']",0,0,0
5,1,c6037,0,64740.84,7211,373914,"['set_immune', 'set_speed']",0,1,0
6,2,c2101,5325,103717.17,0,290219,"['set_speed', 'set_max_hp']",0,0,0
7,3,c1102,281,94855.47,71518,302538,"['set_speed', 'set_max_hp']",0,0,0
8,4,c2071,50277,105344.36,0,200915,"['set_counter', 'set_penetrate']",0,0,0
9,5,c4051,0,0.0,0,0,[],0,0,1
0,1,c1126,5318,11171.47,0,106638,"['set_speed', 'set_acc']",1,1,0
1,2,c2070,28372,19073.69,7527,92093,"['set_speed', 'set_max_hp']",0,0,0
2,3,c2090,0,0.0,0,0,[],0,0,1
3,4,c2111,1366,0.0,1885,56279,"['set_speed', 'set_acc']",0,0,0
4,5,c2023,23180,8163.09,0,84371,"['set_cri_dmg', 'set_torrent']",0,0,0
5,1,c1159,0,60867.92,0,60867,"['set_max_hp', 'set_speed']",0,0,0
6,2,c6037,383,49992.98,0,82647,"['set_speed', 'set_immune']",0,1,0
7,3,c4004,0,0.0,0,0,[],0,0,1
8,4,c4144,14925,29693.56,1768,57144,"['set_cri_dmg', 'set_penetrate']",0,0,0
9,5,c2079,0,57511.05,0,57511,"['set_speed', 'set_cri']",0,0,0
0,1,c2101,18270,33550.89,0,137409,"['set_speed', 'set_max_hp']",0,0,0
1,2,c4004,1353,86872.39,0,145284,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
2,3,c6037,197,41329.64,27726,204768,"['set_speed', 'set_immune']",0,1,0
3,4,c2090,1633,26815.18,0,106904,"['set_speed', 'set_acc']",0,0,0
4,5,c2111,0,0.0,0,0,[],0,0,1
5,1,c1159,2254,33572.96,0,35826,"['set_speed', 'set_max_hp']",1,0,0
6,2,c2070,7221,25283.84,0,102425,"['set_speed', 'set_max_hp']",0,0,0
7,3,c1151,0,0.0,0,0,[],0,0,1
8,4,c1129,54481,29146.42,10449,145238,"['set_vampire', 'set_res']",0,1,0
9,5,c2132,3040,5089.06,0,18361,"['set_counter', 'set_acc']",0,0,0
0,1,c1159,3177,58980.82,0,62157,"['set_speed', 'set_max_hp']",1,0,0
1,2,c2109,43778,12905.78,1476,196544,"['set_counter', 'set_max_hp']",0,0,0
2,3,c4004,1220,128028.69,13494,218995,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
3,4,c1146,0,0.0,0,0,[],0,0,1
4,5,c2111,9898,9459.38,0,163390,"['set_speed', 'set_acc']",0,0,0
5,1,c6037,931,42078.71,11881,130649,"['set_speed', 'set_res']",0,0,0
6,2,c2101,16265,48065.29,0,109785,"['set_speed', 'set_penetrate']",0,0,0
7,3,c2090,18859,85285.49,0,225358,"['set_speed', 'set_res']",0,1,0
8,4,c1126,13944,15218.22,0,142799,['set_speed'],0,0,0
9,5,c2024,0,0.0,0,0,[],0,0,1
0,1,c1159,0,110028.41,0,110028,"['set_speed', 'set_max_hp']",1,1,0
1,2,c1126,0,0.0,0,0,[],0,0,1
2,3,c2109,0,0.0,0,16504,"['set_counter', 'set_max_hp']",0,0,0
3,4,c1151,0,0.0,0,5501,"['set_speed', 'set_acc']",0,0,0
4,5,c2111,0,0.0,0,0,"['set_speed', 'set_acc']",0,0,0
5,1,c2089,0,0.0,0,30984,"['set_speed', 'set_acc']",0,0,0
6,2,c2090,0,0.0,0,10844,"['set_speed', 'set_acc']",0,0,0
7,3,c1121,0,0.0,0,1549,"['set_speed', 'set_immune']",0,0,0
8,4,c5089,30984,0.0,0,57320,"['set_speed', 'set_torrent']",0,1,0
9,5,c1119,0,0.0,0,0,[],0,0,1
0,1,c1159,0,21530.16,0,113244,"['set_speed', 'set_max_hp']",1,0,0
1,2,c2109,1886,51477.2,0,80877,"['set_counter', 'set_max_hp']",0,0,0
2,3,c4004,0,105649.14,19507,244385,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
3,4,c2111,0,0.0,0,0,[],0,0,1
4,5,c1103,11388,15222.96,2625,111779,"['set_cri_dmg', 'set_penetrate']",0,0,0
5,1,c6037,0,0.0,6825,56495,"['set_immune', 'set_speed']",0,0,0
6,2,c2090,13469,0.0,9907,122716,"['set_speed', 'set_res']",0,0,0
7,3,c2071,44048,46157.96,0,95724,"['set_cri_dmg', 'set_penetrate']",0,0,0
8,4,c1121,10333,0.0,7231,133460,"['set_immune', 'set_cri', 'set_penetrate']",0,1,0
9,5,c5089,0,0.0,0,0,[],0,0,1
0,1,c1159,1203,13792.61,0,23518,"['set_speed', 'set_max_hp']",1,0,0
1,2,c4004,0,12423.69,1574,43828,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
2,3,c2109,7616,12419.45,0,32819,"['set_counter', 'set_max_hp']",0,0,0
3,4,c1151,0,0.0,0,0,[],0,0,1
4,5,c5089,22991,13208.28,0,91597,"['set_speed', 'set_torrent']",0,1,0
5,1,c2089,0,0.0,11073,214591,"['set_speed', 'set_acc']",0,1,0
6,2,c2070,0,136470.59,0,165544,"['set_max_hp', 'set_speed']",0,0,0
7,3,c2132,1641,14824.22,5619,41467,"['set_acc', 'set_speed']",0,0,0
8,4,c2071,16150,6283.64,1765,24198,"['set_vampire', 'set_penetrate']",0,0,0
9,5,c1128,0,0.0,0,0,[],0,0,1
0,1,c1159,0,71166.73,0,71166,"['set_speed', 'set_max_hp']",1,1,0
1,2,c1126,4829,0.0,0,68555,"['set_speed', 'set_acc']",0,0,0
2,3,c2008,0,31084.7,15471,71066,"['set_immune', 'set_shield']",0,0,0
3,4,c2111,0,0.0,0,0,[],0,0,1
4,5,c4144,0,0.0,0,0,"['set_cri_dmg', 'set_penetrate']",0,0,0
5,1,c2101,2449,5419.47,0,31652,"['set_speed', 'set_max_hp']",0,0,0
6,2,c4004,0,0.0,0,0,[],0,0,1
7,3,c2132,487,0.0,0,487,"['set_acc', 'set_speed']",0,0,0
8,4,c2046,9372,1963.86,0,27687,"['set_speed', 'set_immune']",0,0,0
9,5,c2090,10701,6770.03,0,47200,"['set_immune', 'set_speed']",0,1,0
0,1,c1159,1505,0.0,0,1505,"['set_speed', 'set_max_hp']",1,0,0
1,2,c6037,928,22361.5,886,111550,"['set_speed', 'set_immune']",0,0,0
2,3,c2071,49106,47112.99,13696,176902,"['set_penetrate', 'set_cri_dmg']",0,1,0
3,4,c1151,0,0.0,0,0,[],0,0,1
4,5,c2111,10027,0.0,0,123613,"['set_speed', 'set_acc']",0,0,0
5,1,c2089,0,26288.62,0,140184,"['set_speed', 'set_acc']",0,0,0
6,2,c2109,17134,56461.83,0,106137,"['set_immune', 'set_counter']",0,0,0
7,3,c4004,1041,119338.94,31880,282427,"['set_max_hp', 'set_speed']",0,1,0
8,4,c5089,0,19034.68,0,27170,"['set_torrent', 'set_torrent', 'set_torrent']",0,0,0
9,5,c2079,0,0.0,0,0,[],0,0,1
0,1,c4004,3215,116726.74,43170,263772,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
1,2,c2101,57997,134005.18,12062,339955,"['set_speed', 'set_max_hp']",0,1,0
2,3,c2109,68013,5458.97,0,289890,"['set_counter', 'set_max_hp']",0,0,0
3,4,c2022,803,27542.74,34304,97881,"['set_speed', 'set_res']",0,0,0
4,5,c5089,0,0.0,0,0,[],0,0,1
5,1,c1159,2948,148900.18,0,164851,"['set_speed', 'set_max_hp']",1,0,0
6,2,c2070,28935,193310.92,0,332777,"['set_speed', 'set_max_hp']",0,1,0
7,3,c4144,55772,53088.61,6310,186691,"['set_vampire', 'set_penetrate']",0,0,0
8,4,c2071,0,0.0,0,0,[],0,0,1
9,5,c1102,1168,75537.29,84215,232441,"['set_speed', 'set_max_hp']",0,0,0
0,1,c2101,11246,7550.32,0,45385,"['set_speed', 'set_max_hp']",0,0,0
1,2,c4004,0,14435.45,18864,63688,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
2,3,c2071,23105,0.0,0,53492,"['set_penetrate', 'set_cri_dmg']",0,0,0
3,4,c6037,768,0.0,0,46349,"['set_speed', 'set_immune']",0,0,0
4,5,c1121,0,0.0,0,0,[],0,0,1
5,1,c1159,0,16814.71,0,46837,"['set_speed', 'set_max_hp']",1,0,0
6,2,c2109,6774,38212.39,0,59997,"['set_counter', 'set_cri']",0,1,0
7,3,c2070,0,0.0,0,0,[],0,0,1
8,4,c5089,0,11928.53,0,21936,"['set_speed', 'set_torrent']",0,0,0
9,5,c1112,0,26345.49,0,26345,['set_acc'],0,0,0
0,1,c1126,0,0.0,0,0,[],1,0,1
1,2,c1117,0,22431.31,0,27130,"['set_counter', 'set_immune']",0,0,0
2,3,c4144,0,22376.63,0,45872,"['set_cri_dmg', 'set_penetrate']",0,0,0
3,4,c1014,17061,11564.42,0,117908,"['set_speed', 'set_cri']",0,1,0
4,5,c2004,749,19800.29,0,58142,"['set_speed', 'set_acc']",0,0,0
5,1,c1118,0,19837.42,0,19837,"['set_speed', 'set_cri']",0,0,0
6,2,c2024,8934,0.0,0,32171,['set_speed'],0,0,0
7,3,c2091,20794,0.0,0,57310,"['set_cri', 'set_speed']",0,1,0
8,4,c2080,0,16828.51,0,16828,"['set_cri', 'set_speed']",0,0,0
9,5,c1007,0,0.0,0,0,[],0,0,1
0,1,c1159,0,0.0,0,0,[],0,0,1
1,2,c2070,21233,122013.17,4815,184748,"['set_speed', 'set_max_hp']",0,0,0
2,3,c2109,40753,26526.32,5836,219862,"['set_counter', 'set_max_hp']",0,1,0
3,4,c2016,5707,40028.7,0,45735,"['set_def', 'set_cri_dmg']",0,0,0
4,5,c2111,9737,29070.29,0,173324,"['set_speed', 'set_acc']",0,0,0
5,1,c5001,3925,164297.17,1524,245524,"['set_max_hp', 'set_speed']",1,1,0
6,2,c2053,4020,73549.23,15146,202172,"['set_speed', 'set_res']",0,0,0
7,3,c2101,19510,49395.7,0,127844,"['set_speed', 'set_cri']",0,0,0
8,4,c4144,37593,49751.02,2277,224338,"['set_cri_dmg', 'set_penetrate']",0,0,0
9,5,c1151,0,0.0,0,0,[],0,0,1
0,1,c1159,1158,104229.4,0,120219,"['set_speed', 'set_max_hp']",1,0,0
1,2,c2109,65482,73831.67,22364,258089,"['set_counter', 'set_max_hp']",0,1,0
2,3,c1126,1486,45939.31,0,173502,"['set_speed', 'set_acc']",0,0,0
3,4,c1148,0,0.0,0,0,[],0,0,1
4,5,c1141,12536,43787.88,0,115654,"['set_acc', 'set_speed']",0,0,0
5,1,c2089,2376,70720.91,7552,198330,['set_speed'],0,0,0
6,2,c1132,7425,23274.18,6159,95699,"['set_speed', 'set_acc']",0,0,0
7,3,c2079,75567,85115.15,17008,597980,"['set_vampire', 'set_cri']",0,1,0
8,4,c1154,5266,80315.63,39508,192336,"['set_speed', 'set_acc']",0,0,0
9,5,c2071,0,0.0,0,0,[],0,0,1
0,1,c1159,1808,121220.64,0,123028,"['set_speed', 'set_max_hp']",1,0,0
1,2,c4144,40175,32058.99,1364,148957,"['set_cri_dmg', 'set_penetrate']",0,1,0
2,3,c2042,13376,111546.56,0,124922,"['set_speed', 'set_max_hp']",0,0,0
3,4,c1151,12405,42839.88,0,130603,"['set_speed', 'set_acc']",0,0,0
4,5,c2111,0,0.0,0,0,[],0,0,1
5,1,c4004,8960,76792.09,36424,176085,"['set_speed', 'set_max_hp']",0,0,0
6,2,c2132,4438,35525.0,0,39963,"['set_acc', 'set_speed']",0,0,0
7,3,c2038,65314,13643.08,0,240685,"['set_penetrate', 'set_cri_dmg']",0,1,0
8,4,c5089,6368,20551.91,1531,28451,"['set_speed', 'set_torrent']",0,0,0
9,5,c1118,0,0.0,0,0,[],0,0,1
0,1,c2089,1919,29708.42,7351,223449,['set_speed'],0,0,0
1,2,c2016,18045,69480.52,0,133643,"['set_def', 'set_cri_dmg']",0,0,0
2,3,c2042,0,20030.05,0,149159,"['set_speed', 'set_max_hp']",0,0,0
3,4,c4144,50827,28918.11,4308,268523,"['set_cri_dmg', 'set_penetrate']",0,1,0
4,5,c1148,0,0.0,0,0,[],0,0,1
5,1,c2132,6742,37244.14,0,175684,"['set_immune', 'set_shield']",1,1,0
6,2,c5082,0,0.0,0,0,[],0,0,1
7,3,c2008,0,48287.93,11843,107166,"['set_immune', 'set_shield']",0,0,0
8,4,c2109,0,21200.15,0,58828,"['set_counter', 'set_immune']",0,0,0
9,5,c2079,22652,86858.99,346,138078,"['set_cri_dmg', 'set_max_hp']",0,0,0
0,1,c1159,0,9453.13,0,9453,"['set_speed', 'set_max_hp']",1,0,0
1,2,c2109,17135,6607.9,0,69881,"['set_counter', 'set_max_hp']",0,0,0
2,3,c1126,0,0.0,0,0,[],0,0,1
3,4,c1014,10699,18469.5,0,96278,"['set_speed', 'set_cri']",0,1,0
4,5,c1007,0,21523.0,0,21522,"['set_cri', 'set_speed']",0,0,0
5,1,c4144,0,17339.13,0,38170,"['set_speed', 'set_penetrate']",0,0,0
6,2,c5016,21579,23500.35,0,90908,"['set_speed', 'set_cri']",0,1,0
7,3,c2004,1319,0.0,0,17984,"['set_speed', 'set_cri']",0,0,0
8,4,c1034,0,19588.27,0,19588,"['set_speed', 'set_cri']",0,0,0
9,5,c1150,0,0.0,0,0,[],0,0,1
0,1,c1159,13305,83483.66,11012,193402,"['set_speed', 'set_max_hp']",0,0,0
1,2,c6037,258,48015.93,17539,372003,"['set_speed', 'set_immune']",0,1,0
2,3,c2109,48752,41191.49,0,326993,"['set_counter', 'set_max_hp']",0,0,0
3,4,c5089,45492,19044.69,1141,154571,"['set_speed', 'set_torrent']",0,0,0
4,5,c2111,0,0.0,0,0,[],0,0,1
5,1,c2089,991,107998.02,0,423270,"['set_def', 'set_speed']",1,1,0
6,2,c5082,1775,103063.26,17298,270033,"['set_speed', 'set_res']",0,0,0
7,3,c2070,0,140859.41,17551,232359,"['set_speed', 'set_max_hp']",0,0,0
8,4,c2023,58660,146359.25,21681,337623,"['set_vampire', 'set_res']",0,0,0
9,5,c1137,0,0.0,0,0,[],0,0,1
0,1,c2089,807,19700.92,11929,140179,['set_speed'],0,0,0
1,2,c2109,25336,24860.18,4215,120714,"['set_counter', 'set_max_hp']",0,0,0
2,3,c5089,30053,18542.44,0,156337,"['set_speed', 'set_torrent']",0,1,0
3,4,c2022,0,0.0,0,0,[],0,0,1
4,5,c2009,25061,33998.83,12692,121479,"['set_cri_dmg', 'set_penetrate']",0,0,0
5,1,c1159,2626,49278.03,0,77499,"['set_speed', 'set_max_hp']",1,0,0
6,2,c6037,0,53562.65,24794,270322,"['set_speed', 'set_immune']",0,1,0
7,3,c2070,20276,92441.71,0,227896,"['set_speed', 'set_max_hp']",0,0,0
8,4,c2071,13899,63063.06,0,140950,"['set_penetrate', 'set_cri_dmg']",0,0,0
9,5,c1121,0,0.0,0,0,[],0,0,1
0,1,c2016,38972,0.0,0,97240,"['set_def', 'set_cri_dmg']",0,1,0
1,2,c1126,0,0.0,0,0,[],0,0,1
2,3,c2015,0,0.0,0,38845,"['set_immune', 'set_speed']",0,0,0
3,4,c4144,0,0.0,0,0,"['set_cri_dmg', 'set_penetrate']",0,0,0
4,5,c6037,0,58142.05,0,93103,"['set_speed', 'set_immune']",0,0,0
5,1,c2046,1757,24418.66,0,93850,['set_speed'],1,1,0
6,2,c1150,852,22335.45,0,50257,"['set_speed', 'set_immune']",0,0,0
7,3,c1014,14318,16147.0,0,75581,"['set_speed', 'set_penetrate']",0,0,0
8,4,c2090,0,32963.06,0,32963,"['set_acc', 'set_speed']",0,0,0
9,5,c1147,0,0.0,0,0,[],0,0,1
0,1,c2089,1117,5166.05,0,66356,['set_speed'],0,0,0
1,2,c2109,73862,0.0,0,155137,"['set_counter', 'set_max_hp']",0,1,0
2,3,c4004,1299,0.0,30579,84884,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
3,4,c5089,0,0.0,0,0,[],0,0,1
4,5,c2095,5767,0.0,0,9300,"['set_speed', 'set_def']",0,0,0
5,1,c1159,0,80276.03,0,95926,"['set_max_hp', 'set_speed']",1,0,0
6,2,c6037,0,39272.61,14140,241220,"['set_speed', 'set_immune']",0,1,0
7,3,c2090,0,61472.35,0,147550,"['set_speed', 'set_acc']",0,0,0
8,4,c1151,0,0.0,0,0,[],0,0,1
9,5,c2101,1400,64280.86,0,112632,"['set_cri', 'set_speed']",0,0,0
0,1,c1159,12137,96026.28,12709,331966,"['set_speed', 'set_max_hp']",1,1,0
1,2,c2109,9239,51851.06,0,73755,"['set_counter', 'set_max_hp']",0,0,0
2,3,c4004,7413,111864.66,25794,229509,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
3,4,c2009,64201,23978.43,6974,196479,"['set_cri_dmg', 'set_penetrate']",0,0,0
4,5,c1151,0,0.0,0,0,[],0,0,1
5,1,c2090,27361,101537.13,8839,256862,"['set_speed', 'set_res']",0,1,0
6,2,c2070,32525,136332.53,0,196347,"['set_max_hp', 'set_max_hp', 'set_max_hp']",0,0,0
7,3,c2111,8388,47874.91,5203,180591,"['set_acc', 'set_speed']",0,0,0
8,4,c2071,8861,81250.0,0,94692,"['set_penetrate', 'set_scar']",0,0,0
9,5,c1022,0,0.0,0,0,[],0,0,1
0,1,c2101,22548,5428.41,0,98505,"['set_speed', 'set_max_hp']",0,0,0
1,2,c4004,0,120901.07,5842,197272,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
2,3,c2009,0,0.0,0,0,[],0,0,1
3,4,c2022,350,52604.76,27807,95875,"['set_speed', 'set_res']",0,0,0
4,5,c2111,13864,2543.57,0,137314,"['set_speed', 'set_acc']",0,0,0
5,1,c1159,1897,44705.69,0,46602,"['set_max_hp', 'set_speed']",1,0,0
6,2,c2090,16013,30290.76,0,108281,"['set_res', 'set_speed']",0,1,0
7,3,c5089,0,15824.11,0,19086,"['set_speed', 'set_torrent']",0,0,0
8,4,c1128,32578,18917.14,2872,67415,"['set_speed', 'set_res']",0,0,0
9,5,c2008,0,0.0,0,0,[],0,0,1
0,1,c2089,1584,0.0,15114,102982,['set_speed'],0,0,0
1,2,c2109,7706,8055.84,0,30142,"['set_counter', 'set_max_hp']",0,0,0
2,3,c4004,0,24496.3,17159,113558,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
3,4,c5089,33229,6824.62,5668,170354,"['set_speed', 'set_torrent']",0,1,0
4,5,c2111,0,0.0,0,0,[],0,0,1
5,1,c1159,0,0.0,0,0,[],1,0,1
6,2,c2008,0,114643.03,3445,159048,"['set_shield', 'set_immune']",0,0,0
7,3,c2071,0,60986.27,0,60986,"['set_cri_dmg', 'set_penetrate']",0,0,0
8,4,c1121,7929,0.0,0,179961,"['set_speed', 'set_immune']",0,1,0
9,5,c1137,7886,0.0,9910,91524,"['set_def', 'set_counter']",0,0,0
0,1,c2089,0,23360.85,0,134219,['set_speed'],0,1,0
1,2,c2109,4046,0.0,0,49693,"['set_counter', 'set_max_hp']",0,0,0
2,3,c2079,8977,68950.99,0,97491,"['set_cri_dmg', 'set_def']",0,0,0
3,4,c2042,0,25087.63,0,25087,"['set_speed', 'set_max_hp']",0,0,0
4,5,c1091,0,0.0,0,0,[],0,0,1
5,1,c1159,1543,0.0,0,1543,['set_speed'],1,0,0
6,2,c6037,0,0.0,4049,62763,"['set_def', 'set_speed']",0,1,0
7,3,c1151,1522,31362.92,0,46229,['set_speed'],0,0,0
8,4,c1128,14900,0.0,0,22906,"['set_speed', 'set_immune']",0,0,0
9,5,c2090,0,0.0,0,0,[],0,0,1
0,1,c2089,0,0.0,4936,34667,['set_speed'],0,1,0
1,2,c2109,2459,21159.83,0,31051,"['set_counter', 'set_max_hp']",0,0,0
2,3,c5089,0,14784.71,0,17262,"['set_speed', 'set_torrent']",0,0,0
3,4,c4004,0,0.0,0,0,[],0,0,1
4,5,c2111,1361,1302.81,3546,28507,"['set_speed', 'set_acc']",0,0,0
5,1,c1159,2311,6738.44,0,13732,"['set_speed', 'set_max_hp']",1,0,0
6,2,c6037,574,0.0,4186,25834,"['set_speed', 'set_immune']",0,0,0
7,3,c2071,16763,0.0,0,35495,"['set_counter', 'set_penetrate']",0,0,0
8,4,c1151,0,0.0,0,0,[],0,0,1
9,5,c1121,7170,4559.46,4527,60746,"['set_speed', 'set_res']",0,1,0
0,1,c2089,2253,14719.7,1047,116099,['set_speed'],0,0,0
1,2,c2101,31659,53797.88,0,172638,"['set_speed', 'set_max_hp']",0,0,0
2,3,c4144,41732,5955.57,2026,125998,"['set_cri_dmg', 'set_penetrate']",0,0,0
3,4,c4004,6989,78692.24,33570,211882,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
4,5,c2111,0,0.0,0,0,[],0,0,1
5,1,c1159,0,0.0,0,0,[],1,0,1
6,2,c5082,363,64333.65,23896,266908,"['set_speed', 'set_res']",0,1,0
7,3,c2016,11699,121975.02,2989,145578,"['set_immune', 'set_vampire']",0,0,0
8,4,c2042,10192,163253.04,0,235855,"['set_speed', 'set_immune']",0,0,0
9,5,c2050,25959,21127.34,0,64917,"['set_vampire', 'set_penetrate']",0,0,0
0,1,c2089,646,0.0,0,27209,['set_speed'],0,0,0
1,2,c2101,0,2898.22,0,2898,"['set_speed', 'set_max_hp']",0,0,0
2,3,c1091,0,0.0,0,0,[],0,0,1
3,4,c2016,37303,0.0,0,53241,"['set_def', 'set_cri_dmg']",0,1,0
4,5,c5050,12280,0.0,0,49469,"['set_speed', 'set_acc']",0,0,0
5,1,c1159,0,0.0,0,0,[],1,0,1
6,2,c6037,447,46404.17,0,113145,"['set_immune', 'set_speed']",0,1,0
7,3,c1151,561,33790.23,0,71181,"['set_immune', 'set_speed']",0,0,0
8,4,c1128,0,27444.09,0,27444,"['set_speed', 'set_torrent']",0,0,0
9,5,c1147,0,38674.56,0,38674,"['set_speed', 'set_acc']",0,0,0
0,1,c1159,0,0.0,0,0,[],1,0,1
1,2,c1126,2604,114923.29,0,379398,"['set_speed', 'set_acc']",0,0,0
2,3,c4004,2428,112302.09,18375,287147,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
3,4,c2071,82687,31182.15,0,457895,"['set_penetrate', 'set_cri_dmg']",0,1,0
4,5,c1102,671,43229.11,105070,364629,"['set_immune', 'set_shield']",0,0,0
5,1,c2089,877,55782.5,0,176754,"['set_speed', 'set_immune']",0,0,0
6,2,c2070,28905,110592.08,22949,295886,"['set_speed', 'set_max_hp']",0,1,0
7,3,c2109,59655,105999.53,16168,235199,"['set_counter', 'set_immune']",0,0,0
8,4,c2132,2528,35649.82,5690,97243,"['set_counter', 'set_immune']",0,0,0
9,5,c2019,0,0.0,0,0,[],0,0,1
0,1,c1159,0,0.0,0,0,"['set_speed', 'set_max_hp']",1,0,0
1,2,c2016,23207,0.0,0,24610,"['set_def', 'set_cri_dmg']",0,1,0
2,3,c1126,0,4869.43,0,4869,"['set_speed', 'set_acc']",0,0,0
3,4,c2015,0,0.0,0,9826,"['set_immune', 'set_speed']",0,0,0
4,5,c2004,0,0.0,0,0,[],0,0,1
5,1,c2046,0,8782.44,0,11471,['set_speed'],0,0,0
6,2,c1142,3487,7984.37,0,46431,"['set_speed', 'set_cri']",0,1,0
7,3,c1014,0,15969.05,0,15969,"['set_speed', 'set_penetrate']",0,0,0
8,4,c2080,0,17562.54,0,17562,"['set_cri_dmg', 'set_torrent']",0,0,0
9,5,c2090,0,0.0,0,0,[],0,0,1
0,1,c2089,1272,58132.79,18425,265772,['set_speed'],0,0,0
1,2,c2109,63626,76269.2,2748,170834,"['set_counter', 'set_max_hp']",0,0,0
2,3,c2090,0,0.0,0,0,[],0,0,1
3,4,c2070,14094,136902.89,35789,327743,"['set_speed', 'set_max_hp']",0,1,0
4,5,c2009,0,62597.6,0,71994,"['set_cri_dmg', 'set_penetrate']",0,0,0
5,1,c1159,13745,60535.84,10509,207513,"['set_speed', 'set_max_hp']",1,0,0
6,2,c2016,48643,52248.59,14492,207426,"['set_immune', 'set_vampire']",0,0,0
7,3,c4004,3780,115203.23,30743,249439,"['set_speed', 'set_max_hp']",0,1,0
8,4,c6037,0,0.0,0,0,[],0,0,1
9,5,c2071,19315,14292.86,0,133320,"['set_cri_dmg', 'set_penetrate']",0,0,0
0,1,c1159,16265,25494.07,5983,124003,"['set_speed', 'set_max_hp']",1,0,0
1,2,c2070,17262,131716.76,10203,197313,"['set_speed', 'set_max_hp']",0,0,0
2,3,c2109,0,0.0,0,0,[],0,0,1
3,4,c1151,7652,39126.18,0,96641,"['set_speed', 'set_acc']",0,0,0
4,5,c2111,34485,485.62,4640,212666,"['set_speed', 'set_acc']",0,1,0
5,1,c5001,2727,131524.93,6211,152457,"['set_max_hp', 'set_speed']",0,0,0
6,2,c2016,21772,133881.93,1314,160965,"['set_cri_dmg', 'set_def']",0,0,0
7,3,c5089,24879,24182.01,1674,166678,"['set_speed', 'set_torrent']",0,1,0
8,4,c2053,0,0.0,0,0,[],0,0,1
9,5,c1091,3046,34673.76,13917,83621,['set_counter'],0,0,0
0,1,c2016,0,0.0,0,0,"['set_def', 'set_cri_dmg']",0,0,0
1,2,c1091,0,0.0,0,0,"['set_res', 'set_speed']",0,0,0
2,3,c1014,15978,0.0,0,35950,"['set_speed', 'set_cri']",0,1,0
3,4,c1126,0,0.0,0,0,[],0,0,1
4,5,c2004,0,0.0,0,798,"['set_speed', 'set_acc']",0,0,0
5,1,c1118,0,0.0,0,10732,['set_speed'],1,0,0
6,2,c2069,0,17398.51,0,17398,"['set_speed', 'set_torrent']",0,0,0
7,3,c2024,0,0.0,0,0,"['set_cri', 'set_speed']",0,0,0
8,4,c1080,0,18377.87,0,18377,"['set_cri', 'set_speed']",0,1,0
9,5,c1103,0,0.0,0,0,[],0,0,1
0,1,c1159,5674,72254.97,0,86467,"['set_speed', 'set_max_hp']",1,0,0
1,2,c1126,14646,2881.01,0,128527,"['set_speed', 'set_acc']",0,0,0
2,3,c4004,3261,55678.56,3109,126087,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
3,4,c1146,0,0.0,0,0,[],0,0,1
4,5,c5089,37800,18157.03,0,179764,"['set_speed', 'set_torrent']",0,1,0
5,1,c2089,4197,19055.89,3786,116923,"['set_speed', 'set_acc']",0,0,0
6,2,c2070,0,124638.7,0,124638,"['set_speed', 'set_max_hp']",0,1,0
7,3,c1128,39858,26929.87,0,90757,"['set_speed', 'set_immune']",0,0,0
8,4,c2090,294,80856.81,0,87143,"['set_speed', 'set_acc']",0,0,0
9,5,c2050,0,0.0,0,0,[],0,0,1
0,1,c2089,0,0.0,0,0,[],0,0,1
1,2,c2109,72119,34750.76,1087,295181,"['set_counter', 'set_max_hp']",0,0,0
2,3,c4004,2357,115656.49,62964,399406,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
3,4,c5089,35689,22453.87,1844,169201,"['set_speed', 'set_torrent']",0,0,0
4,5,c2111,11030,26605.61,3493,329766,"['set_speed', 'set_acc']",0,0,0
5,1,c1159,0,145592.23,0,145592,"['set_speed', 'set_max_hp']",1,0,0
6,2,c5082,746,73136.86,41068,223091,"['set_speed', 'set_res']",0,0,0
7,3,c2070,20294,157968.59,23111,385211,"['set_speed', 'set_max_hp']",0,0,0
8,4,c1141,0,0.0,0,0,[],0,0,1
9,5,c4051,34615,44168.01,0,435645,"['set_acc', 'set_speed']",0,1,0
0,1,c2089,871,32962.04,702,155617,['set_speed'],0,0,0
1,2,c2109,42113,49565.35,0,187269,"['set_counter', 'set_max_hp']",0,0,0
