,pick_order,hero_code,attack_damage,receive_damage,recovery,mvp_point,equip,first_pick,mvp,ban
0,1,c4004,0,116866.5,25146,291443,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
1,2,c2109,15075,9513.68,3756,157851,"['set_counter', 'set_max_hp']",0,0,0
2,3,c5089,0,0.0,0,0,[],0,0,1
3,4,c6037,0,9002.77,4177,162611,"['set_speed', 'set_immune']",0,0,0
4,5,c2079,42024,23488.58,0,145208,"['set_cri_dmg', 'set_def']",0,0,0
5,1,c1126,0,37871.11,0,198822,['set_speed'],1,0,0
6,2,c2070,24961,3904.9,30693,211043,"['set_speed', 'set_max_hp']",0,0,0
7,3,c1154,0,0.0,0,0,[],0,0,1
8,4,c1121,11123,25071.63,2880,247364,"['set_speed', 'set_immune']",0,1,0
9,5,c2071,7061,84366.83,8760,100187,"['set_penetrate', 'set_cri_dmg']",0,0,0
0,1,c4004,3495,82015.84,26849,207973,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
1,2,c2109,0,20868.12,0,41356,"['set_counter', 'set_max_hp']",0,0,0
2,3,c4144,19905,0.0,0,81370,"['set_cri_dmg', 'set_penetrate']",0,0,0
3,4,c2111,17603,0.0,0,140533,"['set_speed', 'set_acc']",0,0,0
4,5,c2099,0,0.0,0,0,[],0,0,1
5,1,c2101,6705,37944.46,0,91657,"['set_speed', 'set_res']",1,0,0
6,2,c2132,1932,18682.76,0,44118,"['set_acc', 'set_speed']",0,0,0
7,3,c6037,0,18454.07,22347,150485,"['set_max_hp', 'set_speed']",0,1,0
8,4,c1134,0,0.0,0,0,[],0,0,1
9,5,c2079,20514,69285.97,0,128973,"['set_cri', 'set_cri_dmg']",0,0,0
0,1,c1117,0,0.0,0,0,[],0,0,1
1,2,c4144,0,10527.99,0,10527,"['set_cri_dmg', 'set_penetrate']",0,0,0
2,3,c4004,1950,14381.92,29250,120307,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
3,4,c2089,506,22339.79,0,57334,['set_speed'],0,0,0
4,5,c1109,20933,13612.18,1460,93486,"['set_cri', 'set_speed']",0,0,0
5,1,c1118,4219,1635.46,0,156651,['set_speed'],1,1,0
6,2,c5082,0,25531.6,0,25531,"['set_speed', 'set_def']",0,0,0
7,3,c2070,0,0.0,0,0,[],0,0,1
8,4,c2050,0,20654.61,0,20654,"['set_speed', 'set_penetrate']",0,0,0
9,5,c1137,37765,37530.66,3791,118425,"['set_speed', 'set_def']",0,0,0
0,1,c1159,3615,45550.43,0,49165,"['set_speed', 'set_max_hp']",0,0,0
1,2,c4004,2892,85638.1,13972,238603,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
2,3,c1014,0,20572.09,0,20572,"['set_speed', 'set_cri']",0,0,0
3,4,c1118,19872,20546.04,0,244569,['set_speed'],0,1,0
4,5,c1020,0,0.0,0,0,[],0,0,1
5,1,c1126,0,9966.13,0,73961,['set_speed'],1,0,0
6,2,c1099,0,9925.55,0,32781,['set_speed'],0,0,0
7,3,c1130,0,19603.32,0,24174,"['set_speed', 'set_penetrate']",0,0,0
8,4,c1007,56851,17931.47,0,129635,"['set_speed', 'set_cri']",0,1,0
9,5,c2004,0,0.0,0,0,[],0,0,1
0,1,c2089,1714,44120.53,0,74567,['set_speed'],0,0,0
1,2,c2090,4370,5468.8,0,59095,"['set_speed', 'set_acc']",0,0,0
2,3,c2016,83737,2316.21,0,86053,"['set_def', 'set_cri_dmg']",0,0,0
3,4,c4144,61034,1738.51,735,125078,"['set_cri_dmg', 'set_penetrate']",0,1,0
4,5,c5089,0,0.0,0,0,[],0,0,1
5,1,c1159,4463,194332.32,0,270106,"['set_speed', 'set_max_hp']",1,0,0
6,2,c1125,3901,63031.66,12517,340924,['set_speed'],0,1,0
7,3,c2073,7139,92702.01,26562,257140,"['set_counter', 'set_res']",0,0,0
8,4,c2109,0,0.0,0,0,[],0,0,1
9,5,c1102,1632,72637.0,115342,272807,"['set_max_hp', 'set_max_hp', 'set_res']",0,0,0
0,1,c2089,744,0.0,9488,99544,['set_speed'],1,0,0
1,2,c2090,21736,15495.5,0,188375,"['set_speed', 'set_acc']",0,1,0
2,3,c2109,55151,27798.41,8803,181065,"['set_counter', 'set_max_hp']",0,0,0
3,4,c2111,10828,18164.09,3546,176812,"['set_speed', 'set_acc']",0,0,0
4,5,c1102,0,0.0,0,0,[],0,0,1
5,1,c1159,0,66774.19,0,66774,"['set_max_hp', 'set_speed']",0,0,0
6,2,c4004,0,99060.34,5499,226717,"['set_speed', 'set_max_hp']",0,1,0
7,3,c5082,0,51823.37,12793,200347,"['set_speed', 'set_res']",0,0,0
8,4,c2071,18530,79163.5,5683,144095,"['set_counter', 'set_penetrate']",0,0,0
9,5,c2079,0,0.0,0,0,[],0,0,1
0,1,c2089,1620,38761.94,1570,163062,['set_speed'],0,0,0
1,2,c2070,20964,108480.96,8222,198222,"['set_speed', 'set_max_hp']",0,0,0
2,3,c4144,54189,3355.54,1635,210566,"['set_cri_dmg', 'set_penetrate']",0,1,0
3,4,c2109,0,63973.32,0,82139,"['set_counter', 'set_max_hp']",0,0,0
4,5,c2042,0,0.0,0,0,[],0,0,1
5,1,c1159,2369,127074.84,0,129443,"['set_max_hp', 'set_speed']",1,0,0
6,2,c1151,3988,33932.24,0,239276,"['set_acc', 'set_speed']",0,0,0
7,3,c5082,952,54303.36,22104,239993,"['set_immune', 'set_speed']",0,1,0
8,4,c2079,47985,94515.52,0,165733,"['set_cri', 'set_cri_dmg']",0,0,0
9,5,c1141,0,0.0,0,0,[],0,0,1
0,1,c1159,0,57602.98,0,85413,"['set_speed', 'set_max_hp']",1,0,0
1,2,c2132,2874,77883.9,1681,124154,"['set_immune', 'set_speed']",0,1,0
2,3,c1151,0,9466.67,0,37276,"['set_speed', 'set_acc']",0,0,0
3,4,c2111,1500,3491.88,0,102327,"['set_speed', 'set_acc']",0,0,0
4,5,c2024,0,0.0,0,0,[],0,0,1
5,1,c4004,5718,14687.71,8211,50517,"['set_res', 'set_counter']",0,0,0
6,2,c2090,15889,0.0,0,53716,"['set_speed', 'set_res']",0,1,0
7,3,c6037,1418,0.0,3878,29187,"['set_shield', 'set_immune']",0,0,0
8,4,c4144,16562,0.0,0,22534,"['set_cri_dmg', 'set_penetrate']",0,0,0
9,5,c1134,0,0.0,0,0,[],0,0,1
0,1,c1159,0,0.0,0,0,"['set_speed', 'set_max_hp']",0,0,0
1,2,c2101,13375,28881.54,0,67011,"['set_speed', 'set_max_hp']",0,1,0
2,3,c1126,4357,0.0,0,48915,"['set_speed', 'set_acc']",0,0,0
3,4,c1014,15273,0.0,0,49929,"['set_speed', 'set_cri']",0,0,0
4,5,c2004,0,0.0,0,0,[],0,0,1
5,1,c6037,558,36418.1,0,47483,['set_speed'],1,1,0
6,2,c1118,0,0.0,0,0,[],0,0,1
7,3,c1130,9487,4153.69,0,20645,"['set_speed', 'set_penetrate']",0,0,0
8,4,c2020,0,17205.56,0,20708,"['set_speed', 'set_cri']",0,0,0
9,5,c1020,0,19742.24,0,19742,"['set_speed', 'set_cri']",0,0,0
0,1,c1126,9493,47398.37,0,157310,"['set_speed', 'set_acc']",1,0,0
1,2,c1117,0,44392.69,0,56945,"['set_counter', 'set_immune']",0,0,0
2,3,c2070,26380,128867.85,11268,216726,"['set_speed', 'set_max_hp']",0,1,0
3,4,c2015,0,0.0,0,0,[],0,0,1
4,5,c1091,0,46008.81,0,46008,"['set_res', 'set_speed']",0,0,0
5,1,c2046,3895,23817.89,0,135473,['set_speed'],0,0,0
6,2,c1014,46348,16147.0,0,150050,"['set_speed', 'set_penetrate']",0,0,0
7,3,c1150,4543,27034.68,0,92192,"['set_speed', 'set_cri']",0,0,0
8,4,c1007,35476,11114.03,0,174555,"['set_speed', 'set_torrent']",0,1,0
9,5,c2132,0,0.0,0,0,[],0,0,1
0,1,c2089,1888,1569.29,0,29091,['set_speed'],1,0,0
1,2,c2090,20065,33413.41,0,171395,"['set_speed', 'set_acc']",0,0,0
2,3,c2101,33144,0.0,0,69031,"['set_speed', 'set_max_hp']",0,0,0
3,4,c4004,5082,109594.42,51586,243165,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
4,5,c2109,0,0.0,0,0,[],0,0,1
5,1,c1159,1247,78202.35,0,135369,"['set_max_hp', 'set_speed']",0,0,0
6,2,c2070,12726,125365.04,0,177235,"['set_speed', 'set_max_hp']",0,1,0
7,3,c6037,312,10339.26,7255,140931,['set_speed'],0,0,0
8,4,c2095,21735,22419.43,0,66522,"['set_cri', 'set_cri_dmg']",0,0,0
9,5,c2016,0,0.0,0,0,[],0,0,1
0,1,c2089,901,67359.87,6677,431178,['set_speed'],0,1,0
1,2,c2016,81652,139021.69,0,407275,"['set_def', 'set_cri_dmg']",0,0,0
2,3,c5082,1488,41630.8,9384,323923,"['set_immune', 'set_speed']",0,0,0
3,4,c2109,23990,48785.86,3204,211690,"['set_counter', 'set_max_hp']",0,0,0
4,5,c2111,0,0.0,0,0,[],0,0,1
5,1,c1159,397,101359.29,0,216621,"['set_speed', 'set_max_hp']",1,0,0
6,2,c6037,0,0.0,0,0,[],0,0,1
7,3,c4004,0,107689.85,29909,290752,"['set_max_hp', 'set_speed']",0,1,0
8,4,c2071,26721,83583.26,4849,153441,"['set_penetrate', 'set_cri_dmg']",0,0,0
9,5,c2047,24249,94036.09,5809,238959,"['set_vampire', 'set_penetrate']",0,0,0
0,1,c2089,3095,48187.21,0,93274,['set_speed'],0,0,0
1,2,c2109,75968,24989.84,6538,115370,"['set_counter', 'set_max_hp']",0,1,0
2,3,c2042,3968,38001.69,0,60341,"['set_speed', 'set_max_hp']",0,0,0
3,4,c4144,23056,38168.53,481,72203,"['set_cri_dmg', 'set_penetrate']",0,0,0
4,5,c5089,0,0.0,0,0,[],0,0,1
